,precision,recall,f1-score,support
0,0.904,0.8921052631578947,0.8980132450331125,380.0
1,0.9708265802269044,0.9584,0.964573268921095,625.0
2,0.9068825910931174,0.8888888888888888,0.8977955911823647,252.0
3,0.9612034837688044,0.9869918699186991,0.9739269955876454,1230.0
4,0.8888888888888888,0.5818181818181818,0.7032967032967034,55.0
5,0.9980338183248132,0.9996061441512406,0.9988193624557261,2539.0
accuracy,0.9734304270812832,0.9734304270812832,0.9734304270812832,0.9734304270812832
macro avg,0.9383058937170882,0.8846350579891508,0.9060708610794411,5081.0
weighted avg,0.9730364228003343,0.9734304270812832,0.9728324541813489,5081.0
