,precision,recall,f1-score,support
0,0.9411764705882353,0.8421052631578947,0.8888888888888888,380.0
1,0.959375,0.9824,0.9707509881422924,625.0
2,0.8401486988847584,0.8968253968253969,0.8675623800383877,252.0
3,0.9650690495532088,0.9658536585365853,0.9654611946363267,1230.0
4,0.6557377049180327,0.7272727272727273,0.6896551724137931,55.0
5,0.9988188976377953,0.9992122883024813,0.9990155542429612,2539.0
accuracy,0.9692973824050384,0.9692973824050384,0.9692973824050384,0.9692973824050384
macro avg,0.8933876369303384,0.9022782223491809,0.8968890297271083,5081.0
weighted avg,0.9699026946990336,0.9692973824050384,0.969311486172939,5081.0
