,precision,recall,f1-score,support
0,0.9038461538461539,0.8657894736842106,0.8844086021505376,380.0
1,0.9592476489028213,0.9792,0.9691211401425178,625.0
2,0.9557522123893806,0.8571428571428571,0.9037656903765691,252.0
3,0.9619047619047619,0.9853658536585366,0.9734939759036144,1230.0
4,0.803921568627451,0.7454545454545455,0.7735849056603774,55.0
5,0.9972462627852084,0.9984245766049625,0.9978350718362528,2539.0
accuracy,0.9732336154300335,0.9732336154300335,0.9732336154300335,0.9732336154300335
macro avg,0.9303197680759628,0.905229551090852,0.9170348976783115,5081.0
weighted avg,0.9728808662029004,0.9732336154300335,0.9728346669840947,5081.0
